,ID,Name,Price,Proccessor,Size,CPU Frequency,Volume
0,f6082434,Игровой ноутбук ASUS M60VP,130 000,Core 2 Duo,"16""",2100 MHz,320
1,f6907099,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Space Gray MXK32 Space Gray,600 000,Core i5,"13.3""",1400 MHz,256
2,f7000642,MSI GL75 Leopard 10SCSR-019XRU 9S7-17E822-019,650 444,Not Found,Not Found,Not Found,Not Found
3,f4651842,Ноутбук Apple MacBook Pro 13 Mid 2017 Space Gray MPXQ2 MPXQ2 Space Gray,455 900,Core i5,"13.3""",2300 MHz,128
4,f7071864,Lenovo ThinkPad X1 Carbon 8 Gb,274 900,Not Found,Not Found,Not Found,Not Found
5,f6907096,Ультрабук Apple MacBook Air 13 Mid 2020 Silver MWTK2 Silver,438 000,Core i3,"13.3""",1100 MHz,256
6,f7012810,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Silver MXK62 Silver,600 000,Core i5,"13.3""",1400 MHz,256
7,f7063549,Toshiba Portege Z30-C 128 Gb SSD,199 900,Not Found,Not Found,Not Found,Not Found
8,f7032173,Игровой ноутбук HP Pavilion 15-cx0117ur 5HA60EA,437 900,Core i5,"15.6""",1600 MHz,1000
9,f6972773,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Silver MWP72 Silver,775 000,Core i5,"13.3""",2000 MHz,512
10,f4652328,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2017 MPXY2 MPXY2 Silver,822 000,Core i5,"13.3""",3100 MHz,512
11,f7138075,Ноутбук Lenovo V15-IIL,214 900,Core i3,Not Found,Not Found,1005
12,f7095616,Игровой ноутбук Acer Nitro 5 AN515-43 NH.Q6ZER.007,370 000,AMD Ryzen 5,"15.6""",2100 MHz,512
13,f7032070,Игровой ноутбук ASUS ROG GL504GM 90NR00K1-M02810,834 300,Core i7,"15.6""",2200 MHz,1256
14,f7061037,Ноутбук Lenovo Ideapad L3,249 900,Core i3,Not Found,Not Found,Not Found
15,f6093243,Игровой ноутбук ASUS TUF Gaming FX505GM,554 500,Core i5,"15.6""",2300 MHz,1000
16,f7080715,Игровой ноутбук Acer Nitro 5 AN515-43 NH.Q6ZER.007,349 900,AMD Ryzen 5,"15.6""",2100 MHz,512
17,f7126493,Ноутбук Lenovo THINKPAD T410,86 000,Core i5,"14.1""",2400 MHz,80
18,f6996563,Ноутбук Microsoft Surface Book 3 13.5 Platinum,1 486 000,Core i7,"13.5""",1300 MHz,1000
19,f7032053,Игровой ноутбук ASUS ROG G531GV-AZ288 90NR01I1-M05570,790 500,Core i5,"15.6""",2400 MHz,512
20,f7012809,Ноутбук Apple MacBook Pro 16 2019 Silver MVVL2 Silver,930 000,Core i7,"16""",2600 MHz,512
21,f7110316,Игровой ноутбук ASUS TUF Gaming FX505DT 90NR02D1-M12900,353 850,AMD Ryzen 5,"15.6""",2100 MHz,512
22,f7095607,Игровой ноутбук Acer Nitro 5 (AN517-51) NH.Q5DER.01B,579 800,Core i5,"17.3""",2400 MHz,512
23,f6827779,Игровой ноутбук ASUS TUF Gaming FX505DT FX505DT-AL235,313 253,AMD Ryzen 5,"15.6""",2100 MHz,512
24,f6806077,Ноутбук Toshiba SATELLITE U400-12R,140 992,Pentium,"13.3""",1860 MHz,250
25,f6843431,Ультрабук Apple MacBook Air 13 Mid 2020 Silver MVH42 Silver,669 990,Core i5,"13.3""",1100 MHz,512
26,f7032017,Игровой ноутбук Acer Predator Triton 700 PT715-51 NH.Q2LER.003,1 580 700,Core i7,"15.6""",2800 MHz,512
27,f7095634,Ноутбук HP 15-db1203ur 104F9EA,276 500,AMD Ryzen 3,"15.6""",2600 MHz,512
28,f6984101,Ноутбук HP ProBook 650 G5 8MJ62EA,372 989,Core i5,"15.6""",1600 MHz,1000
29,f7126471,Ноутбук Lenovo THINKPAD X220,86 000,Core i5,"12.5""",2500 MHz,128
30,f7140754,Игровой ноутбук Acer Nitro 5 AN515-43 NH.Q6ZER.007,384 780,AMD Ryzen 5,"15.6""",2100 MHz,512
31,f7063621,Ноутбук Apple MacBook Pro 13 2019 Space Gray MV972 MV972 Space Gray,665 000,Core i5,"13.3""",2400 MHz,512
32,f6991217,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Space Gray MWP42 Space Gray,775 000,Core i5,"13.3""",2000 MHz,512
33,f7060496,Игровой ноутбук ASUS TUF Gaming FX505GT FX505GT-HN111,400 000,Core i5,"15.6""",2400 MHz,512
34,f7032226,Игровой ноутбук Lenovo Legion Y7000 81T0001CRK,399 900,Core i5,"15.6""",2400 MHz,1128
35,f7098681,Ноутбук DELL XPS 15 9500 210-AVQG Silver,797 000,Core i5,"15.6""",2500 MHz,1000
36,f6831736,Игровой ноутбук Dream Machines RS2080Q-17KZ03,874 698,Core i7,"17.3""",2600 MHz,Not Found
37,f7075466,Ноутбук Apple MacBook Air 13 A1466,287 000,Core i5,"13.3""",1400 MHz,Not Found
38,f7127017,Ноутбук DELL LATITUDE E6410,86 000,Core i5,"14.1""",2400 MHz,500
39,f7127004,Ноутбук DELL LATITUDE E6230,86 000,Core i5,"12.5""",2600 MHz,500
40,f6118848,Игровой ноутбук Lenovo Legion Y530 81FV00Q9RK,445 895,Core i7,"15.6""",2200 MHz,1000
41,f6961339,Игровой ноутбук ASUS TUF Gaming A17 FA706II 90NR03P2-M01270,499 900,AMD Ryzen 7,"17.3""",2900 MHz,512
42,f6878547,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Silver MXK72 Silver,785 000,Core i5,"13.3""",1400 MHz,512
43,f7076073,Игровой ноутбук Acer Predator Helios 300 (PH315-52) NH.Q53ER.01G,630 000,Core i5,"15.6""",2400 MHz,512
44,f6996561,Ноутбук Microsoft Surface Book 3 13.5 Platinum,833 900,Core i5,"13.5""",1200 MHz,256
45,f7062146,Трансформер DELL XPS 13 7390 210-AUQY-A4,962 927,Core i7,"13.4""",1300 MHz,1000
46,f7061176,Игровой ноутбук HP Pavilion Gaming 16-a0001ur,480 000,Core i5,"16""",2500 MHz,512
47,f6831737,Игровой ноутбук Dream Machines G1650-15KZ02,332 529,Core i5,"15.6""",2400 MHz,Not Found
48,f7126633,Игровой ноутбук ASUS Zephyrus M gu502gv-bi7n10 Б/У черный,500 000,Core i7,"15.6""",2600 MHz,1000
49,f6745751,Игровой ноутбук HP Pavilion Gaming 15-ec0013ur 8NF73EA,349 900,AMD Ryzen 5,"15.6""",2100 MHz,512
50,f6888093,Игровой ноутбук MSI GL62 6QD 6QD-028RU,453 670,Core i5,"15.6""",2300 MHz,1000
51,f6878546,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Space Gray MXK52 Space Gray,785 000,Core i5,"13.3""",1400 MHz,512
52,f6843425,Ультрабук Apple MacBook Air 13 Mid 2020 Space Gray MWTJ2 Space Gray,499 990,Core i3,"13.3""",1100 MHz,256
53,f7148693,Ноутбук Acer Nitro 5 AN515-44,489 900,Not Found,Not Found,Not Found,512
54,f7053121,Игровой ноутбук Dream Machines T1660Ti-15XX06,347 842,Not Found,"15.6""",Not Found,Not Found
55,f6783545,Ноутбук Apple MacBook Pro 13 2019 Silver MUHR2 MUHR2 Silver,638 550,Core i5,"13.3""",1400 MHz,256
56,f6443985,Игровой ноутбук Dream Machines G1650-15KZ02,351 778,Core i5,"15.6""",2400 MHz,Not Found
57,f6854395,Ультрабук Apple MacBook Air 13 Mid 2020 Silver MWTK2 Silver,438 600,Core i3,"13.3""",1100 MHz,256
58,f7069815,Ноутбук ASUS Laptop X540UB 90NB0IM1-M09100,245 000,Core i3,"15.6""",2300 MHz,1000
59,f7095620,Ноутбук Acer ASPIRE 3 (A315-56) NX.HS5ER.001,314 800,Core i3,"15.6""",1200 MHz,512
60,f7126339,Ультрабук Lenovo THINKPAD X260,209 000,Core i5,"12""",2400 MHz,256
61,f4652327,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2017 MPXX2 MPXX2 Silver,638 300,Core i5,"13.3""",3100 MHz,256
62,f6118775,Ноутбук Acer Aspire E5-553G NX.GEQER.019,179 900,AMD A-Series,"15.6""",2400 MHz,1000
63,f7032094,Ноутбук DELL Inspiron G5 15 5587 210-AOVT_10,683 900,Core i7,"15.6""",2200 MHz,1128
64,f7061913,Ноутбук Lenovo ThinkBook 15 20SM000GRU серый,493 000,Core i7,"15.6""",1300 MHz,512
65,f6888207,Ноутбук MSI GE72 7RF Apache Pro 7RF-439RU,1 004 640,Core i7,"17.3""",2800 MHz,1128
66,f6887316,Ноутбук ASUS Zenbook UX310UA-FC943R,419 090,Not Found,"13.3""",2400 MHz,128
67,f6979565,Ноутбук Microsoft Surface Laptop 3 13.5 Black (Metal),794 900,Core i7,"13.5""",Not Found,256
68,f6845325,Ультрабук Apple MacBook Air 13 Mid 2020 Silver MWTK2 Silver,499 990,Core i3,"13.3""",1100 MHz,256
69,f7101986,Трансформер HP EliteBook x360 1030 G7 204J0EA,809 720,Core i7,"13.3""",1100 MHz,512
70,f6870970,Ультрабук Apple MacBook Air 13 Mid 2020 Space Gray MVH22 Space Gray,555 000,Core i5,"13.3""",1100 MHz,512
71,f6865791,Ноутбук ASUS VivoBook 14 X412FA 90NB0L92-M15930 Grey,228 433,Core i5,"15.6""",1600 MHz,256
72,f7095641,Ноутбук Lenovo ThinkPad T490 20N2004GRT,378 251,Core i5,"14""",1600 MHz,256
73,f7106347,Ноутбук DELL LATITUDE E6230,89 000,Core i5,"12.5""",2600 MHz,320
74,f6887808,Ноутбук Lenovo THINKPAD X1 Carbon Ultrabook (5th Gen) 20HR005BRT,861 800,Core i7,"14""",2700 MHz,256
75,f6979691,Ноутбук Microsoft Surface Laptop 3 15 Black (Metal),1 382 500,Core i7,"15""",Not Found,1000
76,f7013110,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 (Custom) Space Gray,1 199 900,Core i7,"13.3""",2400 MHz,1000
77,f6878551,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Space Gray MWP52 Space Gray,1 002 900,Core i5,"13.3""",2000 MHz,1000
78,f6843428,Ультрабук Apple MacBook Air 13 Mid 2020 Gold MWTL2 Gold,499 990,Core i3,"13.3""",1100 MHz,256
79,f7016191,MSI GL65 Leopard 10SCXR-056XRU 9S7-16U822-056,529 198,Not Found,Not Found,Not Found,Not Found
80,f6779591,Трансформер Lenovo Yoga C940-15IRH 81TE0013RU,1 063 604,Core i9,"15.6""",2300 MHz,256
81,f7108229,Ноутбук Lenovo THINKPAD T14 G1 20S00011RT,499 200,Core i5,"14""",1600 MHz,256
82,f7106354,Ноутбук DELL LATITUDE E5410,90 000,Core i5,"14""",2670 MHz,250
83,f7131713,Dell 492-BBXU Адаптер Dell/DisplayPort to,10 798,Not Found,Not Found,2000 MHz,Not Found
84,f6153278,Ноутбук Apple MacBook Air 13 Mid 2017 MQD32 MQD32 Silver,491 004,Core i5,"13.3""",1800 MHz,128
85,f7081847,"Ноутбук Prestigio SmartBook 141 С5, Intel Celeron N3350-1.1GH/14.1""HD/eMMC64+240SSD/4Gb/IntelHD/W10P",164 890,Celeron,"14.1""",Not Found,Not Found
86,f7032076,Игровой ноутбук ASUS ROG Strix SCAR III G731GW G731GW-H6233T,1 216 100,Core i7,"17.3""",2600 MHz,1000
87,f7032086,DELL Dell Alienware 17 R5 FullHD G-SYNC,1 275 700,Not Found,Not Found,Not Found,Not Found
88,f7032202,Игровой ноутбук Lenovo Legion Y530 81LB0035RK,681 100,Core i7,"15.6""",2200 MHz,1128
89,f7110317,Игровой ноутбук Acer Nitro 5 AN515-43 NH.Q6ZER.007,367 300,AMD Ryzen 5,"15.6""",2100 MHz,512
90,f6113617,Игровой ноутбук ASUS TUF Gaming FX505GM,615 598,Core i5,"15.6""",2300 MHz,1000
91,f6888200,Ноутбук MSI GE63VR 7RF-056RU,1 471 260,Not Found,"15.6""",2800 MHz,1512
92,f6927859,Ноутбук Lenovo ThinkPad L15 20U30016RK,515 390,Core i5,"15.6""",1600 MHz,256
93,f6979567,Ноутбук Microsoft Surface Laptop 3 13.5 Black (Metal),1 276 500,Core i7,"13.5""",Not Found,1000
94,f6996566,Ноутбук Microsoft Surface Book 3 15 Platinum,1 527 000,Core i7,"15""",1300 MHz,512
95,f6979689,Ноутбук Microsoft Surface Laptop 3 15 Black (Metal),842 500,Core i7,"15""",Not Found,256
96,f6843430,Ультрабук Apple MacBook Air 13 Mid 2020 Gold MVH52 Gold,669 990,Core i5,"13.3""",1100 MHz,512
97,f6878544,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Space Gray MXK32 Space Gray,679 990,Core i5,"13.3""",1400 MHz,256
98,f6497726,Ультрабук Lenovo THINKPAD X1 Carbon Ultrabook (7th Gen),1 111 088,Core i7,"14""",1800 MHz,1000
99,f7053202,Игровой ноутбук Dream Machines T1660Ti-15XX06,315 990,Not Found,"15.6""",Not Found,Not Found
100,f7065337,Трансформер DELL XPS 13 7390 210-AUQY-A3,918 634,Core i7,"13.4""",1300 MHz,1000
101,f6783550,Ноутбук Apple MacBook Air 13 Mid 2019 MVFL2 MVFL2 Silver,550 400,Core i5,"13.3""",1600 MHz,256
102,f7098656,Ноутбук DELL XPS 15 9500 210-AVQG-A2 Silver,1 246 500,Core i7,"15.6""",2600 MHz,1000
103,f7108240,Ноутбук Lenovo IdeaPad L340-15API 81LW0086RK,200 000,Athlon 300U,"15.6""",2300 MHz,128
104,f7106690,Ноутбук HP ProBook 450 G7 8MH55EA,370 700,Core i5,"15.6""",1600 MHz,256
105,f7131754,Dell 470-ABMZ Адаптер Dell/USB-C-HDMI 2.0,13 661,Not Found,Not Found,2000 MHz,Not Found
106,f6119065,Игровой ноутбук Lenovo Legion Y720 80VR001SRK,425 375,Core i7,"15.6""",2800 MHz,1000
107,f6300861,Ноутбук HP 15-bs155ur 3XY43EA,192 569,Core i3,"15.6""",2000 MHz,500
108,f7063547,Panasonic Toughbook CF-53 MK3 Сore i5-3340M,259 900,Not Found,Not Found,Not Found,Not Found
109,f7032166,HP Pavilion 15-bc527ur 7JU36EA,389 300,Not Found,Not Found,Not Found,Not Found
110,f7110300,Игровой ноутбук ASUS TUF Gaming FX505DT FX505DT-HN503,399 000,AMD Ryzen 7,"15.6""",2300 MHz,512
111,f6955479,Ноутбук Lenovo ThinkBook 15-IML 20RW008GRU,258 973,Core i3,"15.6""",2100 MHz,1000
112,f7076099,Ноутбук ASUS Laptop 15 M509DA M509DA-EJ610T,157 500,Athlon 3050U,"15.6""",2300 MHz,500
113,f6887699,Ноутбук MSI GL62MVR 7RFX-1258XRU,591 420,Not Found,"15.6""",2800 MHz,Not Found
114,f6979690,Ноутбук Microsoft Surface Laptop 3 15 Black (Metal),1 127 500,Core i7,"15""",Not Found,512
115,f6979688,Ноутбук Microsoft Surface Laptop 3 15 Black (Metal),868 500,Core i5,"15""",Not Found,256
116,f6843429,Ультрабук Apple MacBook Air 13 Mid 2020 Space Gray MVH22 Space Gray,669 990,Core i5,"13.3""",1100 MHz,512
117,f6878545,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Silver MXK62 Silver,679 990,Core i5,"13.3""",1400 MHz,256
118,f6952561,Ноутбук Lenovo THINKPAD T15 G1 20S6000NRT,539 265,Core i5,"15.6""",1600 MHz,512
119,f7148239,Ноутбук Lenovo ThinkPad L15,523 182,Not Found,Not Found,Not Found,Not Found
120,f6698489,Ноутбук Apple MacBook Pro 16 2019 Space Gray MVVJ2 Space Gray,935 995,Core i7,"16""",2600 MHz,512
121,f6642025,Ноутбук Apple MacBook Pro 16 2019 Space Gray MVVK2 Space Gray,1 140 000,Core i9,"16""",2300 MHz,1000
122,f6892254,Ноутбук HP 255 G7 2D231EA,240 900,AMD Ryzen 5,"15.6""",2100 MHz,256
123,f7138647,Мобильная рабочая станция HP Zbook 15 G2,350 000,Core i7,"15.6""",2800 MHz,500
124,f7106757,Ноутбук HP ProBook 6560b,137 000,Core i5,"15.6""",2500 MHz,320
125,f7126547,Ультрабук Lenovo THINKPAD T460 Ultrabook,210 000,Core i5,"14""",2400 MHz,180
126,f7132263,HP Europe T7B32AA Батарейка HP Europe/CS03XL Rechargeable Battery/Li-Ion/,2 394,Not Found,Not Found,Not Found,Not Found
127,f6964048,"Ноутбук Lenovo Legion Y545, Core i5 9300HF-2.4GHz/15.6""FHD/128Gb+1Tb/8Gb/GTX1660Ti,6G/WL/BT/DOS",467 489,Not Found,"15.6""",2400 MHz,129
128,f7105366,Ноутбук DELL INSPIRON 17 7000 210-AVTQ-A3,1 000 953,Core i7,"17.3""",2600 MHz,1000
129,f7105334,Трансформер DELL XPS 13 7390 210-AUQY-A,919 951,Core i7,"13.4""",1300 MHz,1000
130,f6399759,Ноутбук Lenovo ThinkPad A285 20KD0032RT,499 625,AMD Ryzen 7,"12.5""",2200 MHz,512
131,f6118813,Игровой ноутбук Lenovo Legion Y530 81FV00JYRK,464 299,Core i5,"15.6""",2300 MHz,1000
132,f6301374,Ноутбук ASUS VivoBook A540LA 90NB0B01-M27810,155 433,Core i3,"15.6""",2000 MHz,500
133,f7032034,Игровой ноутбук Acer Predator Helios 300 G3-572 NH.Q2BER.009,608 100,Core i5,"15.6""",2500 MHz,1000
134,f7032206,Игровой ноутбук Lenovo Legion Y530 81FV00U9RK,462 200,Core i7,"15.6""",2200 MHz,1000
135,f7032127,Ноутбук DELL INSPIRON 5584 210-ARTK_2,360 100,Core i5,"15.6""",1600 MHz,1000
136,f7032032,Acer Nitro 5 AN515-52,450 200,Not Found,Not Found,Not Found,Not Found
137,f7110795,Ноутбук Acer Aspire A315-23G,252 900,Not Found,Not Found,Not Found,512
138,f7080017,Ноутбук Lenovo IdeaPad S530 81J700ACRK,220 623,Core i3,"13.3""",2100 MHz,128
139,f7075693,Ноутбук Lenovo IdeaPad 3i 15IIL05 81WE00LQRK синий,286 000,Core i3,"15.6""",1200 MHz,512
140,f6888323,Ноутбук MSI GL62M 7REX-2094XRU,464 590,Not Found,"15.6""",2500 MHz,Not Found
141,f6887932,Ноутбук Lenovo IdeaPad 100-15IBD 80QQ003QRK,288 770,Not Found,"15.6""",2000 MHz,1000
142,f6887833,Ноутбук Lenovo ThinkPad T470s 20HF0017RT,755 280,Not Found,"14""",2500 MHz,256
143,f7150910,Ноутбук Lenovo ThinkBook 15-IIL,233 775,Not Found,Not Found,Not Found,Not Found
144,f6979564,Ноутбук Microsoft Surface Laptop 3 13.5 Black (Metal),730 000,Core i5,"13.5""",Not Found,256
145,f6979566,Ноутбук Microsoft Surface Laptop 3 13.5 Black (Metal),1 034 900,Core i7,"13.5""",Not Found,512
146,f6878552,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Silver MWP82 Silver,1 002 900,Core i5,"13.3""",2000 MHz,1000
147,f6638096,Ноутбук Apple MacBook Pro 16 2019 Silver MVVM2 Silver,1 435 000,Core i7,"16""",2300 MHz,1000
148,f7088676,Ультрабук Apple MacBook Air 13 Mid 2020 Silver MWTK2 Silver,446 995,Core i3,"13.3""",1100 MHz,256
149,f6698600,Ноутбук DELL Inspiron G5 15 5587 G515-7299,426 961,Core i5,"15.6""",2300 MHz,1008
150,f7053156,Игровой ноутбук Dream Machines G1650-15XX09,403 890,Core i7,"15.6""",2600 MHz,Not Found
151,f7104841,Ноутбук DELL Vostro 5401 210-AVNJ,324 398,Core i5,"14""",1000 MHz,256
152,f7126477,Ноутбук Lenovo THINKPAD T420i,90 000,Core i3,"14""",2100 MHz,160
153,f7126580,Ноутбук Fujitsu LIFEBOOK E780,105 000,Core i5,"15""",2530 MHz,160
154,f7126511,Ноутбук DELL LATITUDE E6420,105 000,Core i5,"14""",2500 MHz,500
155,f7126492,Ноутбук Lenovo THINKPAD T410s,96 000,Core i5,"14.1""",2400 MHz,128
156,f5942604,Ноутбук Apple MacBook Air 13 Late  2018 MRE82 Space Gray,442 400,Core i5,"13.3""",1600 MHz,128
157,f7131950,HP Europe 2TB48AA Корпус для ноутбука HP Europe/3PO Tar Protec,990,Not Found,"10.1""",210000 MHz,210
158,f7130011,Ноутбук Acer ASPIRE 3 (A315-56) NX.HS5ER.012,339 126,Core i5,"15.6""",1000 MHz,1256
159,f7126693,Ноутбук ASUS VivoBook 15 D509DA D509DA-BQ242T,305 000,AMD Ryzen 3,"15.6""",2600 MHz,512
160,f6638085,Ноутбук Apple MacBook Pro 16 2019 Space Gray MVVJ2 Space Gray,1 119 000,Core i7,"16""",2600 MHz,512
161,f6820818,Игровой ноутбук ASUS ROG G531GV-AZ288 90NR01I1-M05570,725 544,Core i5,"15.6""",2400 MHz,512
162,f6300910,Трансформер HP ZBook Studio x360 G5 4DC02AW,1 564 930,Xeon,"15.6""",2700 MHz,512
163,f6153578,Ноутбук Apple MacBook 12 Mid 2017 Space Gray MNYF2 MNYF2 Space Gray,690 271,Core m3,"12""",1200 MHz,256
164,f7032187,Ноутбук HP Chromebook 11 G4,29 900,Celeron,"11.6""",2160 MHz,Not Found
165,f7032239,Ноутбук Lenovo ThinkPad X1 Extreme (1st Gen) 20MG0011RT,1 337 600,Core i7,"15.6""",2600 MHz,512
166,f7110315,Трансформер HP Envy x360 13-ay0005ur 15C85EA Black,414 640,AMD Ryzen 5,"13.3""",2300 MHz,512
167,f6154908,Ноутбук DELL Inspiron G5 15 5587 G515-7305,375 900,Core i5,"15.6""",2300 MHz,1000
168,f7076471,"Ноутбук Lenovo Ideapad S145, Ryzen 5 3500U-2.1GHz/15.6""HD/256GbSSD/8Gb/AMD",263 890,Not Found,"15.6""",2100 MHz,Not Found
169,f7105330,Ноутбук Lenovo IdeaPad 3 15 81WE007DRK,219 159,Core i3,"15.6""",1200 MHz,256
170,f7036167,"Зарядное устройство для Macbook Air Apple 60W Magsafe1, 16.5V",26 686,Not Found,Not Found,Not Found,Not Found
171,f6888998,Ноутбук MSI GT73EVR 7RE-856RU,1 280 220,Not Found,"17.3""",2800 MHz,1128
172,f6888175,Ноутбук MSI GL62M 7RDX-2678XRU,482 490,Not Found,"15.6""",2800 MHz,Not Found
173,f6887377,"Ноутбук ASUS X555UJ (Core i7 6500U-2.50ГГц, 4ГБ, 1000ГБ, GF920M",446 330,Not Found,"15.6""",2500 MHz,1000
174,f6907953,Ноутбук Lenovo IdeaPad S540 81NF006LRK,339 790,Core i7,"14""",1800 MHz,256
175,f6996564,Ноутбук Microsoft Surface Book 3 13.5 Platinum,1 239 900,Core i7,"13.5""",1300 MHz,512
176,f7063801,Игровой ноутбук DELL Inspiron Gaming 5500 210-AVQN-A5 Black,544 641,Core i5,"15.6""",2500 MHz,1000
177,f7006236,MSI GL75 Leopard 10SDK-251RU 9S7-17E722-251,707 941,Not Found,Not Found,Not Found,Not Found
178,f7075922,Fujitsu LifeBook U749 LKN:U7490M0018RU,966 437,Not Found,Not Found,Not Found,Not Found
179,f7053162,Игровой ноутбук Dream Machines RT2060-15XX06,346 990,Core i7,"15.6""",2600 MHz,Not Found
180,f7147346,Ноутбук Lenovo ThinkPad T15,534 659,Not Found,Not Found,Not Found,Not Found
181,f6769758,Игровой ноутбук Acer Predator Triton 700 PT715-51 NH.Q2KER.002,1 048 453,Core i7,"15.6""",2800 MHz,512
182,f6867286,Ноутбук HP 15-dw0070ur 8RQ68EA,212 047,Core i3,"15.6""",2100 MHz,256
