,ID,Price,Name,Mark,Model,Size,Volume,Main camera,Front camera,RAM
0,f7104919,404 681,Apple iPhone 12 128Gb,Apple, iPhone 12,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
1,f6573307,262 650,Apple iPhone 11 64Gb,Apple, iPhone 11,"экран 6.1""",64Гб,12Mpix,12Mpix,3 Гб
2,f6573308,282 040,Apple iPhone 11 128Gb,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
3,f7054431,302 000,Samsung Galaxy Note20 8/256Gb,Samsung, Galaxy Note20,Not Found,Not Found,Not Found,Not Found,Not Found
4,f7141949,186 100,Apple iPhone SE (2020) 128Gb White,Apple, iPhone SE (2020),"экран 4.7""",128Гб,12Mpix,7Mpix,3 Гб
5,f6877444,168 000,Apple iPhone SE (2020) 64Gb Black,Apple, iPhone SE (2020),"экран 4.7""",64Гб,12Mpix,7Mpix,3 Гб
6,f6570503,262 700,Apple iPhone 11 64Gb Black,Apple, iPhone 11,"экран 6.1""",64Гб,12Mpix,12Mpix,4 Гб
7,f7110477,559 000,Apple iPhone 12 Pro 128Gb Pacific Blue,Apple, iPhone 12 Pro,"экран 6.1""",128Гб,12Mpix,12Mpix,6 Гб
8,f7055920,117 000,Samsung Galaxy A71 6/128Gb Crush Black,Samsung, Galaxy A71,"экран 6.7""",128Гб,64Mpix,32Mpix,6 Гб
9,f7081226,110 000,Xiaomi Redmi Note 9 Pro 6/128Gb черный,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",128Гб,64Mpix,16Mpix,6 Гб
10,f7138117,305 000,Apple iPhone 11 128Gb черный,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
11,f7104751,404 550,Apple iPhone 12 128Gb,Apple, iPhone 12,"экран 6.1""",128Гб,12Mpix,12Mpix,6 Гб
12,f6984148,114 850,Xiaomi Redmi Note 9 Pro 6/128Gb,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",128Гб,64Mpix,16Mpix,6 Гб
13,f7096278,214 500,Samsung Galaxy S20 FE 6/128Gb Cloud Navy,Samsung, Galaxy S20 FE,"экран 6.5""",128Гб,12Mpix,32Mpix,6 Гб
14,f7106007,536 200,Apple iPhone 12 Pro 128Gb,Apple, iPhone 12 Pro,"экран 6.1""",128Гб,12Mpix,12Mpix,6 Гб
15,f7126491,653 000,Apple iPhone 12 Pro Max 256Gb,Apple, iPhone 12 Pro Max,"экран 6.7""",256Гб,12Mpix,12Mpix,6 Гб
16,f7106011,597 000,Apple iPhone 12 Pro 256Gb,Apple, iPhone 12 Pro,"экран 6.1""",256Гб,12Mpix,12Mpix,6 Гб
17,f7126494,597 700,Apple iPhone 12 Pro Max 128Gb,Apple, iPhone 12 Pro Max,"экран 6.7""",128Гб,12Mpix,12Mpix,6 Гб
18,f6722723,87 590,Samsung Galaxy A51 4/64Gb,Samsung, Galaxy A51,"экран 6.5""",64Гб,48Mpix,32Mpix,4 Гб
19,f6807891,116 390,Samsung Galaxy A71 6/128Gb,Samsung, Galaxy A71,"экран 6.7""",128Гб,64Mpix,32Mpix,6 Гб
20,f6871635,186 195,Apple iPhone SE (2020) 128Gb,Apple, iPhone SE (2020),"экран 4.7""",128Гб,12Mpix,7Mpix,3 Гб
21,f7100882,109 300,Xiaomi Poco X3 NFC 6/128Gb,Xiaomi, Poco X3 NFC,"экран 6.67""",128Гб,64Mpix,20Mpix,6 Гб
22,f6722724,101 140,Samsung Galaxy A51 6/128Gb,Samsung, Galaxy A51,"экран 6.5""",128Гб,48Mpix,32Mpix,6 Гб
23,f6833189,145 495,Samsung Galaxy S10 Lite 6/128Gb,Samsung, Galaxy S10 Lite,"экран 6.7""",128Гб,48Mpix,32Mpix,6 Гб
24,f6804614,180 600,Samsung Galaxy A71 8/128Gb Crush Black,Samsung, Galaxy A71,"экран 6.7""",128Гб,64Mpix,32Mpix,8 Гб
25,f6875030,112 600,Xiaomi Redmi Note 9 Pro 6/128Gb Interstellar Gray,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",128Гб,48Mpix,16Mpix,6 Гб
26,f7074750,126 500,Xiaomi Poco X3 NFC 6/128Gb Cobalt Blue,Xiaomi, Poco X3 NFC,"экран 6.67""",128Гб,64Mpix,20Mpix,6 Гб
27,f6965065,86 999,Xiaomi Redmi Note 9S 6/128Gb Glacier White,Xiaomi, Redmi Note 9S,"экран 6.67""",128Гб,48Mpix,16Mpix,6 Гб
28,f7004664,101 497,Xiaomi Redmi Note 9 Pro 6/128Gb Interstellar Gray,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",128Гб,48Mpix,16Mpix,6 Гб
29,f7103457,116 391,Samsung Galaxy A71 6/128Gb,Samsung, Galaxy A71,Not Found,128Гб,Not Found,Not Found,Not Found
30,f6878591,101 497,Xiaomi Redmi Note 9 Pro 6/128Gb Tropical Green,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",128Гб,48Mpix,16Mpix,6 Гб
31,f6804629,87 594,Samsung Galaxy A51 4/64Gb,Samsung, Galaxy A51,Not Found,Not Found,Not Found,Not Found,Not Found
32,f6804630,101 144,Samsung Galaxy A51 6/128Gb,Samsung, Galaxy A51,Not Found,Not Found,Not Found,Not Found,Not Found
33,f6897954,112 600,Xiaomi Redmi Note 9 Pro 6/128Gb Glacier White,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",128Гб,48Mpix,16Mpix,6 Гб
34,f7062264,473 000,Samsung Galaxy Note20 Ultra 5G 12/256Gb Mystic Black,Samsung, Galaxy Note20 Ultra 5G,"экран 6.9""",256Гб,108Mpix,10Mpix,12 Гб
35,f6645956,305 000,Apple iPhone 11 128Gb White,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
36,f6584007,305 000,Apple iPhone 11 128Gb Black,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
37,f7129245,695 000,Apple iPhone 12 Pro Max 128Gb Graphite,Apple, iPhone 12 Pro Max,"экран 6.7""",128Гб,12Mpix,12Mpix,6 Гб
38,f7129244,695 000,Apple iPhone 12 Pro Max 128Gb Gold,Apple, iPhone 12 Pro Max,"экран 6.7""",128Гб,12Mpix,12Mpix,6 Гб
39,f7129279,305 000,Apple iPhone 11 128Gb Purple,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
40,f7139281,369 791,Apple iPhone 11 64Gb Yellow,Apple, iPhone 11,"экран 6.1""",64Гб,12Mpix,12Mpix,4 Гб
41,f5940776,458 800,Apple iPhone Xs Max 512Gb (1 SIM) Silver,Apple, iPhone Xs Max,"экран 6.5""",512Гб,12Mpix,7Mpix,4 Гб
42,f6655257,288 000,Apple iPhone 11 128Gb Black,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
43,f7077793,108 897,Xiaomi Poco X3 NFC 6/128Gb,Xiaomi, Poco X3 NFC,"экран 6.67""",128Гб,64Mpix,20Mpix,6 Гб
44,f5006680,198 260,Apple iPhone 8 64Gb Gold,Apple, iPhone 8,"экран 4.7""",64Гб,12Mpix,7Mpix,2 Гб
45,f6722649,87 578,Samsung Galaxy A51 4/64Gb,Samsung, Galaxy A51,"экран 6.5""",64Гб,64Mpix,32Mpix,4 Гб
46,f6685837,101 117,Samsung Galaxy A51 6/128Gb,Samsung, Galaxy A51,"экран 6.5""",128Гб,48Mpix,32Mpix,6 Гб
47,f6688901,282 131,Apple iPhone 11 128Gb,Apple, iPhone 11,Not Found,128Гб,12Mpix,8Mpix,4 Гб
48,f7129246,695 000,Apple iPhone 12 Pro Max 128Gb Silver,Apple, iPhone 12 Pro Max,"экран 6.7""",128Гб,12Mpix,12Mpix,6 Гб
49,f7128750,549 560,Apple iPhone 12 Pro 128Gb Silver,Apple, iPhone 12 Pro,"экран 6.1""",128Гб,12Mpix,12Mpix,6 Гб
50,f5961919,245 500,Apple iPhone Xr 64Gb (1 SIM),Apple, iPhone Xr,Not Found,64Гб,12Mpix,Not Found,Not Found
51,f7077794,90 718,Xiaomi Redmi Note 9 Pro 6/64Gb,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",64Гб,64Mpix,16Mpix,6 Гб
52,f6639014,59 990,Xiaomi Redmi 7 3/64Gb Blue,Xiaomi, Redmi 7,"экран 6.26""",64Гб,12Mpix,8Mpix,3 Гб
53,f7147163,69 490,Samsung Galaxy A21s 3/32Gb Black,Samsung, Galaxy A21s,"экран 6.5""",32Гб,48Mpix,13Mpix,3 Гб
54,f6688896,262 981,Apple iPhone 11 64Gb,Apple, iPhone 11,Not Found,64Гб,12Mpix,8Mpix,4 Гб
55,f7053889,413 900,Apple iPhone 11 Pro 64Gb Gold,Apple, iPhone 11 Pro,"экран 5.8""",64Гб,12Mpix,12Mpix,6 Гб
56,f7110878,110 500,Xiaomi Redmi Note 9 Pro 6/128Gb,Xiaomi, Redmi Note 9 Pro,Not Found,128Гб,Not Found,Not Found,6 Гб
57,f6587044,68 985,Xiaomi Redmi Note 8 4/64Gb,Xiaomi, Redmi Note 8,"экран 6.3""",64Гб,48Mpix,13Mpix,4 Гб
58,f6819070,101 200,Samsung Galaxy A51 6/128Gb Crush Black,Samsung, Galaxy A51,"экран 6.5""",128Гб,48Mpix,32Mpix,6 Гб
59,f7053798,90 717,Xiaomi Redmi Note 9 Pro 6/64Gb Tropical Green,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",64Гб,48Mpix,16Mpix,6 Гб
60,f7094563,536 369,Apple iPhone 12 Pro 128Gb Graphite,Apple, iPhone 12 Pro,"экран 6.1""",128Гб,12Mpix,12Mpix,6 Гб
61,f7053879,413 900,Apple iPhone 11 Pro 64Gb Space Gray,Apple, iPhone 11 Pro,"экран 5.8""",64Гб,12Mpix,12Mpix,6 Гб
62,f7129335,653 100,Apple iPhone 12 Pro Max 256Gb Pacific Blue,Apple, iPhone 12 Pro Max,"экран 6.7""",256Гб,12Mpix,12Mpix,6 Гб
63,f7053793,90 718,Xiaomi Redmi Note 9 Pro 6/64Gb Glacier White,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",64Гб,48Mpix,16Mpix,6 Гб
64,f6812013,27 688,Meizu C9 2/16Gb Black,Meizu, C9,"экран 5.45""",16Гб,13Mpix,8Mpix,Not Found
65,f7129243,690 770,Apple iPhone 12 Pro Max 128Gb Pacific Blue,Apple, iPhone 12 Pro Max,"экран 6.7""",128Гб,12Mpix,12Mpix,6 Гб
66,f7128748,549 560,Apple iPhone 12 Pro 128Gb Pacific Blue,Apple, iPhone 12 Pro,"экран 6.1""",128Гб,12Mpix,12Mpix,6 Гб
67,f6805041,116 371,Samsung Galaxy A71 6/128Gb,Samsung, Galaxy A71,"экран 6.7""",128Гб,64Mpix,32Mpix,6 Гб
68,f7077796,101 638,Xiaomi Redmi Note 9 Pro 6/128Gb,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",128Гб,64Mpix,16Mpix,6 Гб
69,f6577002,263 480,Apple iPhone 11 64Gb Green,Apple, iPhone 11,"экран 6.1""",64Гб,12Mpix,12Mpix,4 Гб
70,f6563384,282 045,Apple iPhone 11 128Gb Green,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
71,f7066962,124 000,Xiaomi Mi Note 10 Lite 6/64Gb Midnight Black,Xiaomi, Mi Note 10 Lite,"экран 6.47""",64Гб,64Mpix,16Mpix,6 Гб
72,f6564072,282 120,Apple iPhone 11 128Gb Black,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
73,f6876894,207 000,Apple iPhone SE (2020) 128Gb White,Apple, iPhone SE (2020),"экран 4.7""",128Гб,12Mpix,7Mpix,3 Гб
74,f5961740,297 390,Apple iPhone Xr 128Gb (1 SIM) Yellow,Apple, iPhone Xr,"экран 6.1""",128Гб,12Mpix,7Mpix,3 Гб
75,f7053869,325 000,Samsung Galaxy Note20 8/256Gb Mystic Bronze,Samsung, Galaxy Note20,"экран 6.7""",256Гб,12Mpix,10Mpix,8 Гб
76,f6568841,408 000,Apple iPhone 11 Pro 64Gb Gold,Apple, iPhone 11 Pro,"экран 5.8""",64Гб,12Mpix,12Mpix,6 Гб
77,f6506787,428 500,Apple iPhone 11 Pro 64Gb Gold,Apple, iPhone 11 Pro,"экран 5.8""",64Гб,12Mpix,12Mpix,6 Гб
78,f6877679,232 150,OnePlus 8 8/128Gb,OnePlus, 8,"экран 6.55""",128Гб,48Mpix,16Mpix,8 Гб
79,f6564070,262 650,Apple iPhone 11 64Gb Purple,Apple, iPhone 11,"экран 6.1""",64Гб,12Mpix,12Mpix,4 Гб
80,f6564451,262 650,Apple iPhone 11 64Gb White,Apple, iPhone 11,"экран 6.1""",64Гб,12Mpix,12Mpix,4 Гб
81,f7100145,214 650,Samsung Galaxy S20 FE 6/128Gb Cloud Mint,Samsung, Galaxy S20 FE,"экран 6.5""",128Гб,12Mpix,32Mpix,6 Гб
82,f6466978,73 900,Xiaomi Redmi Note 7 4/64Gb Moonlight White,Xiaomi, Redmi Note 7,"экран 6.3""",64Гб,48Mpix,13Mpix,4 Гб
83,f6698954,87 590,Samsung Galaxy A51 4/64Gb White,Samsung, Galaxy A51,"экран 6.5""",64Гб,48Mpix,32Mpix,4 Гб
84,f7087884,386 125,Apple iPhone 12 64Gb Blue,Apple, iPhone 12,"экран 6.1""",64Гб,12Mpix,12Mpix,6 Гб
85,f7087881,386 125,Apple iPhone 12 64Gb Black,Apple, iPhone 12,"экран 6.1""",64Гб,12Mpix,12Mpix,6 Гб
86,f4915669,152 500,Apple iPhone 7 32Gb Rose Gold,Apple, iPhone 7,"экран 4.7""",32Гб,12Mpix,7Mpix,2 Гб
87,f6670848,163 400,Google PIXEL 3A XL 64GB Black,Google, PIXEL 3A XL,Not Found,Not Found,Not Found,Not Found,Not Found
88,f7129252,728 990,Apple iPhone 12 Pro Max 256Gb Graphite,Apple, iPhone 12 Pro Max,"экран 6.7""",256Гб,12Mpix,12Mpix,6 Гб
89,f5006676,198 260,Apple iPhone 8 64Gb Silver,Apple, iPhone 8,"экран 4.7""",64Гб,12Mpix,7Mpix,2 Гб
90,f6834779,15 819,Nokia 216 Dual Sim Black,Nokia, 216 Dual Sim Black,"экран 2.4""",Not Found,0.3Mpix,Not Found,Not Found
91,f6826089,145 490,Samsung Galaxy S10 Lite 6/128Gb Prism Blue,Samsung, Galaxy S10 Lite,"экран 6.7""",128Гб,48Mpix,32Mpix,6 Гб
92,f7053924,101 498,Xiaomi Redmi Note 9 Pro 6/128Gb Glacier White,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",128Гб,48Mpix,16Mpix,6 Гб
93,f7071498,110 000,Xiaomi Poco X3 NFC 6/128Gb Cobalt Blue,Xiaomi, Poco X3 NFC,"экран 6.67""",128Гб,64Mpix,20Mpix,6 Гб
94,f6577671,68 990,Xiaomi Redmi Note 8 4/64Gb Blue,Xiaomi, Redmi Note 8,Not Found,64Гб,48Mpix,Not Found,Not Found
95,f4915674,228 000,Apple iPhone 7 Plus 128Gb Black,Apple, iPhone 7 Plus,"экран 5.5""",128Гб,12Mpix,7Mpix,3 Гб
96,f5886582,479 900,Apple iPhone Xs Max 256Gb (1 SIM) Silver,Apple, iPhone Xs Max,"экран 6.5""",256Гб,12Mpix,7Mpix,4 Гб
97,f7077787,108 897,Xiaomi Poco X3 NFC 6/128Gb Cobalt Blue,Xiaomi, Poco X3 NFC,"экран 6.67""",128Гб,64Mpix,20Mpix,6 Гб
98,f6564071,262 650,Apple iPhone 11 64Gb Red,Apple, iPhone 11,"экран 6.1""",64Гб,12Mpix,12Mpix,4 Гб
99,f6617351,311 710,Apple iPhone 11 128Gb Black,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
100,f7053901,194 900,Apple iPhone SE (2020) 64Gb Red,Apple, iPhone SE (2020),"экран 4.7""",64Гб,12Mpix,7Mpix,3 Гб
101,f7128749,549 560,Apple iPhone 12 Pro 128Gb Gold,Apple, iPhone 12 Pro,"экран 6.1""",128Гб,12Mpix,12Mpix,6 Гб
102,f7099707,494 500,Apple iPhone 12 64Gb Black,Apple, iPhone 12,"экран 6.1""",64Гб,12Mpix,12Mpix,6 Гб
103,f7101937,385 000,Apple iPhone 11 Pro Max 64Gb Midnight Green,Apple, iPhone 11 Pro Max,"экран 6.5""",64Гб,12Mpix,12Mpix,6 Гб
104,f6564485,282 050,Apple iPhone 11 128Gb White,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
105,f6564073,282 050,Apple iPhone 11 128Gb Red,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
106,f7106682,251 190,OnePlus 8T 8/128Gb Aquamarine Green,OnePlus, 8T,"экран 6.55""",128Гб,48Mpix,16Mpix,8 Гб
107,f7014552,95 000,Xiaomi Redmi Note 9 Pro 6/64Gb Interstellar Gray,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",64Гб,48Mpix,16Mpix,6 Гб
108,f7139135,253 500,Apple iPhone 11 128Gb,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
109,f6568808,290 000,Apple iPhone 11 64Gb Purple,Apple, iPhone 11,"экран 6.1""",64Гб,12Mpix,12Mpix,4 Гб
110,f7110465,269 990,Apple iPhone Xr 64Gb (1 SIM) Red,Apple, iPhone Xr,"экран 6.1""",64Гб,12Mpix,7Mpix,3 Гб
111,f7062279,268 900,Apple iPhone Xr 64Gb (2 SIM) Black,Apple, iPhone Xr,"экран 6.1""",64Гб,12Mpix,7Mpix,3 Гб
112,f6577042,469 330,Apple iPhone 11 Pro Max 256Gb Gold,Apple, iPhone 11 Pro Max,"экран 6.5""",256Гб,12Mpix,12Mpix,6 Гб
113,f3649062,113 412,ASUS ZenFone Selfie ZD551KL 32Gb,ASUS, ZenFone Selfie ZD551KL,"экран 5.5""",32Гб,13Mpix,Not Found,Not Found
114,f5291976,313 900,Apple iPhone X 64Gb Silver,Apple, iPhone X,"экран 5.8""",64Гб,12Mpix,Not Found,3 Гб
115,f7127425,423 500,Apple iPhone 11 Pro Max 64Gb,Apple, iPhone 11 Pro Max,"экран 6.5""",64Гб,12Mpix,12Mpix,6 Гб
116,f6685765,101 117,Samsung Galaxy A51 6/128Gb White,Samsung, Galaxy A51,"экран 6.5""",128Гб,48Mpix,32Mpix,6 Гб
117,f7043377,429 380,Samsung Galaxy Note20 Ultra 8/256Gb Mystic Bronze,Samsung, Galaxy Note20 Ultra,"экран 6.9""",256Гб,108Mpix,10Mpix,8 Гб
118,f7129271,354 990,Samsung Galaxy S20 Ultra 5G 12/128Gb Cosmic Grey,Samsung, Galaxy S20 Ultra 5G,"экран 6.9""",128Гб,108Mpix,40Mpix,12 Гб
119,f6655258,255 000,Apple iPhone Xr 64Gb (1 SIM) Black,Apple, iPhone Xr,"экран 6.1""",64Гб,12Mpix,7Mpix,3 Гб
120,f6903897,90 718,Xiaomi Redmi Note 9 Pro 6/64Gb Glacier White,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",64Гб,48Mpix,16Mpix,6 Гб
121,f7139188,352 500,Apple iPhone 11 Pro Max 64Gb черный,Apple, iPhone 11 Pro Max,"экран 6.5""",64Гб,12Mpix,12Mpix,6 Гб
122,f5918508,265 000,Apple iPhone Xr 128Gb (1 SIM) White,Apple, iPhone Xr,"экран 6.1""",128Гб,12Mpix,7Mpix,3 Гб
123,f7129268,254 990,Samsung Galaxy S20 8/128Gb Cosmic Grey,Samsung, Galaxy S20,"экран 6.2""",128Гб,64Mpix,10Mpix,8 Гб
124,f7043525,167 650,OnePlus Nord 8/128Gb Blue Marble,OnePlus, Nord,"экран 6.44""",128Гб,48Mpix,32Mpix,8 Гб
