Name;Price;Mark;prod_type;Size;OS;processor;frequency;RAM;Hard_type;Volume ;Videocard
Ноутбук Asus TUF Gaming FX505DT-BQ018 15.6 FHD Intel® Core™ i5-9300H/8Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650 4Gb/Black/Dos(90NR02M2-M00980);379 990;Asus;ноутбук;15,6'';DOS;Core™ i5-9300H;2,4;8 Гб;SSD;512 Гб;Nvidia GeForce GTX 1650
Ноутбук Asus TUF Gaming A15 FA506IV-HN215 15.6FHD 144Hz AMD Ryzen™ 7 4800H/16Gb/SSD 512Gb/NVIDIA® GeForce RTX™ 2060-6Gb/Gray/Dos(90NR03L1-M05150);579 990;Asus;ноутбук;15,6'';DOS;Ryzen™ 7 4800H;2,9;16 Гб;SSD;512 Гб;GeForce RTX 2060
Ноутбук Asus TUF Gaming FX505DT-HN484 15.6FHD 144Hz AMD Ryzen™ 5 3550H/8Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650-4Gb/Gold/Dos(90NR02D1-M12900);336 990;Asus;ноутбук;15,6'';DOS;Ryzen™ 5 3550H;2,1;8 Гб;SSD;512 Гб;Nvidia GeForce GTX 1650
Ноутбук Asus TUF Gaming A15 FA506II-HN258 15.6FHD 144Hz AMD Ryzen™ 7 4800H/16Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650 Ti-4Gb/Black/Dos(90NR03M2-M06760);459 990;Asus;ноутбук;15,6'';DOS;Ryzen™ 7 4800H;;16 Гб;SSD;512 Гб;NVIDIA® GeForce® GTX 1650 Ti
Ноутбук Asus TUF Gaming FX505DT-HN503 15.6 FHD 144Hz AMD Ryzen™ 7 3750H/16Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650/Gold/Dos(90NR02D1-M12530);379 990;Asus;ноутбук;15,6'';DOS;Ryzen™ 7 3750H;4.0;16 Гб;SSD;512 Гб;GeForce GTX 1650
Ноутбук Lenovo Legion Y540-15IRH 15.6FHD Intel Core i5 9300H 2.4Ghz/8Gb/SSD 512Gb/RTX2060 6Gb/Dos(81SX00NCRK);485 890;Lenovo;ноутбук;15,6'';DOS;Core i5 9300H;2,4;8 Гб;SSD;1000 Гб;GeForce® GTX 1660Ti 
Ноутбук Asus TUF Gaming FX505DT-HN502 15.6 FHD 144Hz AMD Ryzen™ 5 3550H/16Gb/SS 512Gb/NVIDIA® GeForce® GTX 1650-4Gb/Gold/Dos(90NR02D1-M12520);359 990;Asus;ноутбук;15,6'';DOS;Ryzen™ 5 3550H;2,1;16 Гб;SSD;512 Гб;Nvidia GeForce GTX 1650
Ноутбук Asus TUF Gaming A15 FA506IU-HN148 15.6 FHD 144Hz AMD Ryzen™ 7 4800H/16Gb/SSD 1000Gb/NVIDIA® GeForce® GTX 1660Ti-6Gb/Gray/Dos(90NR03N1-M06740);559 990;Asus;ноутбук;15,6'';DOS; Ryzen™ 7 4800H;2,9;16 Гб;SSD;1000 Гб;GeForce GTX 1660 Ti
Ноутбук Asus TUF Gaming FX505DT-HN482 15.6 FHD 144Hz AMD Ryzen™ 7 3750H/8Gb/SSD 512Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650 4Gb/Gold/Dos(90NR02D1-M12320);349 890;Asus;ноутбук;15,6'';DOS;Ryzen™ 7 3750H;2,3;8 Гб;SSD;512 Гб;NVIDIA® GeForce® GTX 1650
Ноутбук Asus ROG Strix G15 G512LU-HN093 15.6 FHD 144Hz Intel® Core™ i7-10750H/16Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1660Ti 6Gb/Black/Dos/(90NR0351-M02900);549 890;Asus;ноутбук;15,6'';DOS;Core™ i7-10750H;;16 Гб;SSD;512 Гб;NVIDIA® GeForce® GTX 1660Ti 
Ноутбук Asus ROG Strix G G531GT-HN550 15.6 FHD 144Hz Intel® Core™ i7-9750H/8Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650 4Gb/Black/Dos/(90NR01L3-M13920);459 990;Asus;ноутбук;15,6'';DOS;Core™ i7-9750H;2,6;8 Гб;SSD;512 Гб;Nvidia GeForce GTX 1650
Ноутбук Lenovo IP 5 14IIL05 14.0FHD Intel Core i5 1035G1/8Gb/SSD 512Gb/Win10/Platinum Gray (81YH00J4RK);339 990;Lenovo;ноутбук;"14""";DOS;Core i5 1035G1;1.0;8 Гб;SSD;512 Гб;Intel UHD Graphics
"Ноутбук Lenovo IP 3 17IML05 17.3"" HD TN Intel Core i5-10210U/8Gb/1000Gb/GeForce MX330 2Gb/Dos (81WC007KRK)";299 990;Lenovo;ноутбук;17,3'';DOS;Core i5 10210U;1,6;8 Гб;SSD;1000 Гб;Nvidia GeForce MX330
Ноутбук Acer SF314-57G 14,0 Intel Core i5-1035G1/8Gb/SSD 512Gb/NVIDIA GeForce MX 250 2Gb/Win10 (NX.HJEER.004);399 990;Acer;ноутбук;"14""";Windows 10;Core i51035G1;1;8 Гб;SSD;512 Гб;Nvidia GeForce MX250
Ноутбук Acer SF314-57G 14,0 Intel® Core™ i5-1035G1/8Gb/SSD 512Gb/NVIDIA® GeForce® MX350 2Gb/Win10(NX.HUGER.002);389 790;Acer;ноутбук;"14""";Windows 10;Core™ i5-1035G1;1;8 Гб;SSD;512 Гб;GeForce® MX350
"Ноутбук Acer Aspire 5 A517-51G-802B 17,3"" FHD Intel® Core™ i7- 8550U/8Gb/2000GbSSD 256Gb/Geforce MX250 2Gb/Dos(NX.HB6ER.021)";399 990;Acer;ноутбук;"17.3""";DOS;Core™ i7- 8550U;1,8;8 Гб;SSD;256 Гб;GeForce MX250
"Ноутбук Acer A315-42G 15.6"" HD AMD Ryzen™ 3 3200U/4Gb/500Gb/AMD Radeon™ 540X -2Gb/Linux(NX.HF8ER.03D)";199 990;Acer;ноутбук;15,6'';Linux;Ryzen™ 3 3200U;2,6;4 Гб;HDD;500 ГБ;AMD
Ноутбук Acer Nitro 5 AN515-55 15.6FHD Intel® Core™ i7-10750H/16Gb/1024GB SSD/NVIDIA® GeForce® GTX 1660Ti 6Gb/Dos(NH.Q7PER.008);589 990;Acer;ноутбук;15,6'';DOS;Core™ i7-10750H;2,6;16 Гб;SSD;1024 Гб;GeForce GTX 1660 Ti
Ноутбук Acer Nitro 5 AN515-44 15.6FHD AMD Ryzen 5 4600H/8Gb/512GB SSD/NVIDIA GeForce GTX 1650 4Gb/Dos (NH.Q9GER.008);399 990;Acer;ноутбук;15,6'';DOS;Ryzen 5 4600H;3;8 Гб;SSD;512 Гб;GeForce GTX 1650
Ноутбук HP Pavilion Gaming 16-a0001ur 16.1 FHD Intel Core i5-10300H/8Gb/SSD 512Gb/NVIDIA GeForce GTX 1650Ti 4Gb/Dos (15D16EA);379 990;HP;ноутбук;16,1'';DOS;Core i5 10300H;2,5;8 Гб;SSD;512 Гб;Nvidia GeForce GTX 1650Ti 
"Ноутбук Acer A315-54K 15.6"" HD Intel® Core™ i5-6300/4Gb/1000Gb/Dos(NX.HEEER.01Q)";269 990;Acer;ноутбук;15,6'';DOS;Core™ i5-6300;2,4;4 Гб;HDD;1000 Гб;Intel HD Graphics 520
Ноутбук Lenovo IP 5 14IIL05 14.0FHD TN Intel® Core™ i7-1065G7/16Gb/SSD 512Gb/Win10/PLATINUM_GREY(81YH00JWRK);399 990;Lenovo;ноутбук;14,0'';Windows 10;Core™ i7-1065G7;1,3;8 Гб;SSD;512 Гб;Intel Iris Plus
Ноутбук Lenovo IP 5 14IIL05 14.0FHD TN Intel® Core™ i5-1035G1/8Gb/SSD 512Gb/NVIDIA® GeForce® MX330 2Gb/Win10/PLATINUM_GREY(81YH00KQRK);359 690;Lenovo;ноутбук;14,0'';Windows 10;Core™ i5-1035G1;1;8 Гб;SSD;512 Гб;Nvidia GeForce MX330
Ноутбук Lenovo IP 5 14ARE05 14.0FHD TN AMD Ryzen™ 7 4700/8Gb/SSD 512Gb/Win10/PLATINUM_GREY(81YM00B1RK);339 990;Lenovo;ноутбук;14,0'';Windows 10;Ryzen™ 7 4700;2;8 Гб;SSD;512 Гб;AMD
Ноутбук Asus ROG Strix G15 G512LV-HN033 15.6 FHD 144Hz Intel® Core™ i7-10750H/16Gb/SSD 512Gb/NVIDIA® GeForce RTX™ 2060/Dos/Black(90NR04D1-M03860);639 990;Asus;ноутбук;15,6'';DOS;Core™ i7-10750H;2,6;Intel UHD Graphics;SSD;512 Гб;GeForce RTX 2060
Ноутбук Asus GA401IH-HE012T ROG Zephyrus 14.00 FHD 120Hz AMD Ryzen™ 5 4600HS/8Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650 4Gb/Eclipse Gray(90NR0483-M02060);559 990;Asus;ноутбук;14,0'';DOS;Ryzen™ 5 4600HS;3;8 Гб;SSD;512 Гб;GeForce GTX 1650
Ноутбук Acer PH315-52 15,6 FHD Intel® Core™ i5-9300H/8Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1660 TI 6Gb/Dos( NH.Q53ER.01G);599 990;Acer;ноутбук;15,6'';DOS;Core™ i5-9300H;2,4;8 Гб;HDD;512 Гб; GeForce® GTX 1660 TI
Ноутбук Acer PH317-53 17,3 FHD Intel® Core™ i7-9750H/16Gb/HDD 1TbSSD 256Gb/NVIDIA® GeForce® RTX™ 2070-8Gb/DOS (NH.Q5RER.012);879 990;Acer;ноутбук;17,3'';DOS; Core™ i7-9750H;2,6;16 Гб;HDD;256 Гб;GeForce® RTX™ 2070
Ноутбук Acer PT515-52 15,6 FHD  Intel® Core™ i7-10750H/16Gb/SSD 1000Gb/NVIDIA® GeForce® RTX2070-8Gb/Win10(NH.Q6YER.003);999 990;Acer;ноутбук;"15,6""";Windows 10; Core™ i7-10750H;2,6;16 Гб;SSD;1024 Гб; GeForce® RTX2070
"Ноутбук Acer A315-55G-54RK 15.6"" HD Intel® Core™ i5-10210U/4Gb/1000Gb/NVIDIA MX230 -2Gb/Dos(NX.HNSER.00F)";289 990;Acer;ноутбук;"15,6""";DOS; Core™ i5-10210U;1,6;4 Гб;SSD;1000 Гб;Nvidia GeForce® MX230
Ноутбук Asus  ROG Strix G531G 15,6FHD Intel® Core™ i5-9300/8Gb/SSD 512Gb/NVIDIA® GeForce GTX™ 1650 4Gb/Dos(90NR01L3-M13730);429 990;Asus;ноутбук;"15,6""";DOS; Core™ i5-9300;2,4;8 Гб;SSD;512 Гб;GeForce GTX 1650
Ноутбук Acer PT315-52 15,6FHD Intel® Core™ i5-10300H/16Gb/SSD 1000Gb/NVIDIA® GeForce® GTX 1660TI 6 Gb/Black/Dos(NH.Q7CER.004);659 990;Acer;ноутбук;"15,6""";DOS; Core™ i5-10300H;2,5;16 Гб;SSD;1000 Гб;GeForce® GTX 1660TI 
Ноутбук Acer PT315-52 15,6FHD Intel® Core™ i5-10300H/16Gb/SSD 1000Gb/NVIDIA® GeForce® GTX 2060 6 Gb/Black/Dos(NH.Q7BER.004);699 990;Acer;ноутбук;"15,6""";DOS; Core™ i5-10300H;2,5;16 Гб ;SSD;1000 Гб; GeForce® GTX 2060
Ноутбук Acer SF314-57 14.FHD Intel® Core™ i3-1005G1/8Gb/SSD 512Gb/Win10/(NX.HHXER.002);329 990;Acer;ноутбук;14,0'';Windows 10; Core™ i3-1005G1;1,2;8 Гб;SSD;512 Гб;Intel UHD Graphics
Ноутбук HP Envy x360 13-ba0006ur 13.3 FHD Intel® Core™ i7-10510U/8Gb/SSD 1000Gb/MX 350 2Gb/Natural Silver /Win10 (15C94EA);528 990;HP;ноутбук;13,3'';Windows 10;Core™ i7-10510U;1,8;8 Гб;SSD;1000 Гб;Intel UHD Graphics 630
Ноутбук Acer Nitro 5 AN517-51 17,3FHD Intel® Core™ i5 9300/8Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1660Ti 6Gb/Dos(NH.Q5DER.01B);559 990;Acer;ноутбук;17,3'';DOS;Core™ i5 9300;2,4;8 Гб;SSD;512 Гб;GeForce GTX 1660Ti
Ноутбук Acer  SF314-57G 14,0FHD Intel® Core™ i7 1065G7/8Gb/SSD 256Gb/GeForce MX250 2Gb/Win10(NX.HJEER.001);459 990;Acer;ноутбук;14,0'';Windows 10;Core™ i7 1065G7;1,3;8 Гб;SSD;256 Гб;GeForce MX250
Ноутбук Acer  SF314-58G 14,0FHD Intel® Core™ i7 10510U/8Gb/SSD 256Gb/GeForce MX250 2Gb/Linux(NX.HPKER.002);439 990;Acer;ноутбук;14,0'';Linux;Core™ i7 10510U;1,8;8 Гб;SSD;256 Гб;GeForce MX250
Ноутбук Asus M509DA-EJ068T 15,6 FHD  AMD Ryzen™ 5 3500/8Gb/SSD 256Gb/Win10(90NB0P52-M14720);259 990;Asus;ноутбук;"15,6""";Windows 10;Ryzen™ 53500;2,3;8 Гб;SSD;256 Гб;AMD
Ноутбук Asus X412DA-EK492T 14.0 FHD AMD Ryzen™ 7 3700/8Gb/SSD 512Gb/Win10(90NB0M51-M09330);319 990;Asus;ноутбук;14,0'';Windows 10;Ryzen™ 7 3700U;2,3;8 Гб;SSD;512 Гб;AMD
Ноутбук Asus X412DA-EK170T 14.0 FHD AMD Ryzen™ 5 3500/8Gb/SSD 256Gb/Win10(90NB0M51-M09320);279 990;Asus;ноутбук;14,0'';Windows 10;Ryzen™ 5 3500U;2,1;8 Гб;SSD;256 Гб;Intel UHD Graphics
Устройство 2 в 1 HP Spectre X360 13-aw0003ur Touch 13.3 Intel Core i5/8Gb/SSD 512Gb/Win10 (8PK89EA);599 990;HP;устройство 2 в 1;13,3'';Windows 10;Core™ i5-1035G4;1.1 ГГц;8 Гб;SSD;512 Гб;Intel Iris Plus
Устройство 2 в 1 HP Spectre X360 13-aw0004ur Touch 13.3 Intel Core i5/8Gb/SSD 512Gb/Win10 (8KN53EA);599 990;HP;устройство 2 в 1;13,3'';Windows 10;Intel Core i5-1035G4;1.1 ГГц;8 Гб;SSD;512 Гб;Intel Iris Plus
Ноутбук Lenovo Yoga S940-14IIL 14.0 Intel Core i5/8Gb/SSD 512Gb/Win10 (81Q8002QRK);697 990;Lenovo;ноутбук;14,0'';Windows 10;Core i5 1035;1.10 ГГц;8 Гб;SSD;512 Гб;
Ноутбук Lenovo Legion Y540-15IRH Y540 15.6 (81SX00FTRK);559 990;Lenovo;ноутбук;"15,6""";Без Операционной Системы;Core™ i7-9750H;2,6;16 Гб;SSD;1000 Гб;GeForce GTX 1660Ti
